"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2023","304.50","301.13","305.10","299.93","39.32M","1.60%"
"02/10/2023","299.70","299.48","301.57","297.25","50.05M","-0.66%"
"02/09/2023","301.68","308.84","308.99","300.20","48.43M","-0.88%"
"02/08/2023","304.37","308.54","309.50","303.67","56.24M","-1.78%"
"02/07/2023","309.88","303.46","311.03","302.32","66.96M","2.07%"
"02/06/2023","303.59","303.51","305.91","302.22","40.80M","-0.85%"
"02/03/2023","306.18","304.94","312.39","304.54","76.17M","-1.78%"
"02/02/2023","311.72","307.57","313.68","306.73","80.45M","3.59%"
"02/01/2023","300.92","294.41","303.43","292.30","66.07M","2.14%"
"01/31/2023","294.62","290.31","294.72","290.20","46.10M","1.50%"
"01/30/2023","290.27","292.93","294.38","289.89","49.41M","-2.02%"
"01/27/2023","296.26","292.00","298.26","291.88","56.44M","1.00%"
"01/26/2023","293.34","291.22","293.52","288.52","51.03M","1.95%"
"01/25/2023","287.73","283.77","288.36","281.18","50.87M","-0.22%"
"01/24/2023","288.37","287.31","289.55","286.78","41.72M","-0.20%"
"01/23/2023","288.96","283.54","290.21","282.73","52.42M","2.22%"
"01/20/2023","282.68","276.79","283.02","275.71","60.61M","2.74%"
"01/19/2023","275.15","276.22","277.38","273.89","43.47M","-0.98%"
"01/18/2023","277.88","283.11","284.69","277.67","46.98M","-1.30%"
"01/17/2023","281.54","280.77","282.85","279.58","35.88M","0.20%"
"01/13/2023","280.97","276.50","281.22","276.16","44.80M","0.69%"
"01/12/2023","279.05","278.12","280.10","273.74","60.15M","0.54%"
"01/11/2023","277.55","273.92","277.66","273.12","43.46M","1.73%"
"01/10/2023","272.83","269.49","272.94","268.97","34.83M","0.85%"
"01/09/2023","270.54","270.83","275.29","269.92","45.16M","0.65%"
"01/06/2023","268.80","263.35","269.94","260.34","54.66M","2.76%"
"01/05/2023","261.58","264.04","264.21","261.26","45.40M","-1.57%"
"01/04/2023","265.74","266.64","267.45","262.53","47.07M","0.48%"
"01/03/2023","264.48","268.65","270.15","262.13","41.91M","-0.68%"
"12/30/2022","266.28","263.62","266.41","262.29","37.86M","-0.06%"
"12/29/2022","266.44","262.96","267.40","262.25","45.56M","2.44%"
"12/28/2022","260.10","263.17","265.47","259.73","45.51M","-1.32%"
"12/27/2022","263.58","266.74","266.85","263.03","37.76M","-1.41%"
"12/23/2022","267.36","265.47","268.04","263.53","39.37M","0.22%"
"12/22/2022","266.76","270.38","270.51","262.45","59.13M","-2.45%"
